Date,Close,High,Low,Open,Volume,Daily_Return,MA_7,High_52W,Low_52W
2025-04-01,3432.1865234375,3464.277439125219,3407.248318336048,3453.354865404157,2618493,-0.0061,,3464.28,3407.25
2025-04-02,3425.5654296875,3445.0424669343693,3412.129849162714,3425.6138066504323,1764313,-0.0,,3464.28,3407.25
2025-04-03,3289.46875,3385.0167912281404,3282.702582798802,3374.3842427691143,4537821,-0.0252,,3464.28,3282.7
2025-04-04,3189.184326171875,3286.085501586113,3185.414699028632,3250.2733357697866,5317367,-0.0188,,3464.28,3185.41
2025-04-07,3164.68115234375,3181.4514379526936,2953.963392712106,2996.445205771086,6623955,0.0561,,3464.28,2953.96
2025-04-08,3182.94970703125,3237.1274167268007,3146.5574911118592,3191.7458179951013,5557558,-0.0028,,3464.28,2953.96
2025-04-09,3138.148193359375,3160.76642752928,3104.752280697163,3151.6321497293247,2990265,-0.0043,3260.31,3464.28,2953.96
2025-04-11,3123.552490234375,3188.7492913945475,3098.904311833949,3179.663390613554,7108961,-0.0176,3216.22,3464.28,2953.96
2025-04-15,3139.69482421875,3203.683386247662,3130.415650876791,3203.683386247662,3512160,-0.02,3175.38,3464.28,2953.96
2025-04-16,3164.43994140625,3168.596348657385,3121.136422017699,3139.695005759879,2384391,0.0079,3157.52,3464.28,2953.96
2025-04-17,3188.701171875,3193.2443586174536,3110.50370573642,3137.085076745666,2932346,0.0165,3157.45,3464.28,2953.96
2025-04-21,3210.64306640625,3241.9606599617177,3174.3957423905777,3180.1953142330854,2432946,0.0096,3164.02,3464.28,2953.96
2025-04-22,3203.68310546875,3222.531712274605,3184.931252579041,3211.6093750675464,2710498,-0.0025,3166.98,3464.28,2953.96
2025-04-23,3298.98974609375,3306.625754540036,3225.818529364827,3252.593171873855,3543923,0.0143,3189.96,3464.28,2953.96
2025-04-24,3287.970703125,3298.5064976170884,3274.5348867157572,3287.4874054696716,2252175,0.0001,3213.45,3464.28,2953.96
2025-04-25,3332.8203125,3361.6248972006574,3291.256718115574,3305.755646389211,2742991,0.0082,3241.04,3464.28,2953.96
2025-04-28,3328.470947265625,3342.2933073843687,3291.2570278610287,3320.2548871373374,1593296,0.0025,3264.47,3464.28,2953.96
2025-04-29,3356.502197265625,3378.250591632357,3315.808440523134,3339.586779424834,1578332,0.0051,3288.44,3464.28,2953.96
2025-04-30,3338.329833984375,3392.652437661013,3253.5594811525652,3356.018573547744,2809332,-0.0053,3306.68,3464.28,2953.96
2025-05-02,3316.388427734375,3374.867442563267,3305.755879583667,3356.0188344779217,1721761,-0.0118,3322.78,3464.28,2953.96
2025-05-05,3338.909912109375,3387.4329449049897,3331.27366828836,3334.753505470742,1284443,0.0012,3328.48,3464.28,2953.96
2025-05-06,3344.419677734375,3356.9854164079434,3322.1879862349847,3344.419677734375,1324763,0.0,3336.55,3464.28,2953.96
2025-05-07,3330.017333984375,3343.9362109554654,3306.335750758935,3306.335750758935,1477128,0.0072,3336.15,3464.28,2953.96
2025-05-08,3333.690185546875,3360.8516058321925,3314.165009149484,3332.8203442362383,2543591,0.0003,3336.89,3464.28,2953.96
2025-05-09,3325.377685546875,3331.0805031274213,3284.5874131966707,3285.457254527544,2531757,0.0122,3332.45,3464.28,2953.96
2025-05-12,3499.46142578125,3509.22413241534,3385.209911911905,3387.916425868549,2228678,0.0329,3355.47,3509.22,2953.96
2025-05-13,3397.58251953125,3501.9748131612287,3393.232840630001,3499.461570957545,3062887,-0.0291,3367.07,3509.22,2953.96
2025-05-14,3430.156494140625,3442.045662835236,3391.396166459135,3403.3818530870167,2119499,0.0079,3380.1,3509.22,2953.96
2025-05-15,3460.314208984375,3479.7428677232297,3396.7124309124556,3444.9454390459973,3548330,0.0045,3396.66,3509.22,2953.96
2025-05-16,3442.335693359375,3473.8465567565913,3427.6434928317944,3473.8465567565913,1666727,-0.0091,3412.7,3509.22,2953.96
2025-05-19,3401.25537109375,3431.4130953260615,3386.6596886040716,3431.4130953260615,2537377,-0.0088,3422.35,3509.22,2953.96
2025-05-20,3381.4404296875,3439.1461226598826,3377.2840226457647,3413.82137266364,2038374,-0.0095,3430.36,3509.22,2953.96
2025-05-21,3408.021728515625,3418.8475485914832,3381.4403579795026,3390.8162851170264,1440153,0.0051,3417.3,3509.22,2953.96
2025-05-22,3360.8515625,3380.956790168703,3336.0101126719387,3378.2502763697153,2034383,-0.0052,3412.05,3509.22,2953.96
2025-05-23,3397.196044921875,3416.9144952813326,3349.8328737001534,3360.851966080111,1274331,0.0108,3407.35,3509.22,2953.96
2025-05-26,3419.137451171875,3426.5801874567637,3392.8461073678304,3403.3819012793415,967470,0.0046,3401.46,3509.22,2953.96
2025-05-27,3381.82666015625,3421.747090070775,3366.7479162656796,3414.014328285304,2467680,-0.0094,3392.82,3509.22,2953.96
2025-05-28,3380.860107421875,3411.114585484783,3376.31715701285,3402.4152283668,1222933,-0.0063,3389.9,3509.22,2953.96
2025-05-29,3381.247314453125,3414.498100356932,3370.034713912086,3387.626702221486,3188072,-0.0019,3389.88,3509.22,2953.96
2025-05-30,3347.7060546875,3389.5596782127777,3337.7503119241223,3373.4175839622008,3404365,-0.0076,3381.26,3509.22,2953.96
2025-06-02,3334.560302734375,3344.419526975246,3304.4025784742903,3334.7535745851437,1877585,-0.0001,3377.5,3509.22,2953.96
2025-06-03,3291.449951171875,3357.4684509968274,3286.907000896707,3330.887082808426,2848125,-0.0118,3362.4,3509.22,2953.96
2025-06-04,3297.008544921875,3310.563782597761,3286.3791053631217,3304.907652247958,2544807,-0.0024,3344.95,3509.22,2953.96
2025-06-05,3287.451904296875,3324.4113841471617,3280.235380032571,3324.4113841471617,3584683,-0.0111,3331.47,3509.22,2953.96
2025-06-06,3300.226806640625,3306.7605099618336,3275.359545608902,3287.4520036268846,2070390,0.0039,3319.95,3509.22,2953.96
2025-06-09,3336.991455078125,3348.791310023286,3306.760665733127,3315.634960419095,1718678,0.0064,3313.63,3509.22,2953.96
2025-06-10,3376.973876953125,3399.305794893864,3338.259013167141,3354.642197095073,2419874,0.0067,3317.81,3509.22,2953.96
2025-06-11,3385.750732421875,3402.4265208353168,3363.516665314218,3383.8979728571367,2847013,0.0005,3325.12,3509.22,2953.96
2025-06-12,3348.986083984375,3388.481144938844,3338.259030391803,3385.7505745896515,4060134,-0.0109,3333.34,3509.22,2953.96
2025-06-13,3360.20068359375,3364.881627257479,3309.003383077588,3309.003383077588,2178493,0.0155,3342.37,3509.22,2953.96
2025-06-16,3409.54541015625,3421.9302340050463,3341.1847251814343,3354.642349665819,1934088,0.0164,3359.81,3509.22,2953.96
2025-06-17,3428.07373046875,3432.6570601768817,3401.5487008021014,3422.905193528652,2111940,0.0015,3378.07,3509.22,2953.96
2025-06-18,3365.75927734375,3450.2105407013996,3357.665418209048,3431.7796073253016,2696327,-0.0192,3382.18,3509.22,2953.96
2025-06-19,3339.0390625,3365.3691018363024,3328.312009437062,3364.3939151942172,2672768,-0.0075,3376.76,3509.22,2953.96
2025-06-20,3350.448974609375,3360.786049100129,3326.2642962767654,3340.0145242959966,2351248,0.0031,3371.72,3509.22,2953.96
2025-06-23,3309.3935546875,3340.0143206716803,3286.3790542083398,3330.262454041982,3123421,-0.0063,3366.07,3509.22,2953.96
2025-06-24,3306.27294921875,3356.690292940616,3298.081476031171,3349.376392565029,3403048,-0.0129,3358.36,3509.22,2953.96
2025-06-25,3359.3232421875,3364.3941654870573,3315.634829755361,3322.7537403887272,1757699,0.011,3351.19,3509.22,2953.96
2025-06-26,3356.397705078125,3365.759354753242,3330.555256962972,3359.3232652421043,2879106,-0.0009,3340.95,3509.22,2953.96
2025-06-27,3355.71533203125,3380.387367158931,3345.8658502962735,3369.2703330730474,1778433,-0.004,3339.51,3509.22,2953.96
2025-06-30,3376.09619140625,3378.924137465807,3344.890218522079,3354.544471150048,1468351,0.0064,3344.81,3509.22,2953.96
2025-07-01,3344.59765625,3398.525526423559,3328.7996798986564,3369.2699264830403,2375183,-0.0073,3343.97,3509.22,2953.96
2025-07-02,3338.356689453125,3403.3039810516498,3335.1385257152824,3400.671024568939,3090585,-0.0183,3348.11,3509.22,2953.96
2025-07-03,3316.4150390625,3350.058980842342,3313.294489180619,3344.8904436190446,2531870,-0.0085,3349.56,3509.22,2953.96
2025-07-04,3334.943603515625,3341.964900305915,3305.980605453995,3323.4363525656718,1109320,0.0035,3346.07,3509.22,2953.96
2025-07-07,3327.044677734375,3341.0875101654565,3323.8265137554163,3333.481005692293,1639174,-0.0019,3341.88,3509.22,2953.96
2025-07-08,3321.68115234375,3340.0147113686808,3309.1987139810713,3320.510975827842,2325242,0.0004,3337.02,3509.22,2953.96
2025-07-09,3299.836669921875,3329.28725945695,3283.4534864064294,3325.3865128143525,2034938,-0.0077,3326.13,3509.22,2953.96
2025-07-10,3298.08154296875,3314.659717489882,3272.7266878187834,3296.1311694956757,3035012,0.0006,3319.48,3509.22,2953.96
2025-07-11,3184.959716796875,3252.247598137654,3180.1813972680684,3218.0184502225306,7635550,-0.0103,3297.57,3509.22,2953.96
2025-07-14,3142.734130859375,3190.8108827918168,3120.5974403831947,3184.9597625910983,3924009,-0.0133,3272.75,3509.22,2953.96
