Date,Close,High,Low,Open,Volume,Daily_Return,MA_7,High_52W,Low_52W
2025-04-01,251.05284118652344,251.4352463724932,247.13312238513114,248.9017791928424,8388635,0.0086,,251.44,247.13
2025-04-02,252.00888061523438,253.87311692555642,249.61881162073414,251.24404103160617,7136992,0.003,,253.87,247.13
2025-04-03,245.0776824951172,249.04519122265188,244.07385059181817,248.4715688242457,12262561,-0.0137,,253.87,244.07
2025-04-04,235.46958923339844,242.78319417909,234.08335219904274,241.87497092125852,14639785,-0.0265,,253.87,234.08
2025-04-07,232.21908569335938,233.12732353468408,217.97428105597103,220.89016799643343,13011904,0.0513,,253.87,217.97
2025-04-08,236.37782287597656,238.52888496483783,233.1273348879378,233.98775388835296,13806651,0.0102,,253.87,217.97
2025-04-09,226.24392700195312,231.64549172561502,223.71045968255785,230.11584172171595,19063559,-0.0168,239.78,253.87,217.97
2025-04-11,229.20761108398438,234.2267558522468,227.86917831424364,234.2267558522468,11205821,-0.0214,236.66,253.87,217.97
2025-04-15,233.27073669433594,234.27456860177384,230.7372693645474,234.27456860177384,10694621,-0.0043,233.98,253.87,217.97
2025-04-16,236.76022338867188,237.52504836712504,230.59384844032286,233.27072857099728,16203319,0.015,232.79,253.87,217.97
2025-04-17,226.48292541503906,227.3433589804182,221.94179445919988,224.6664788678326,54875421,0.0081,231.51,253.87,217.97
2025-04-21,227.9647674560547,230.2114380442893,226.9609356062515,226.9609356062515,16298364,0.0044,230.9,253.87,217.97
2025-04-22,223.85385131835938,228.49059090191665,223.2324392284416,227.9647728170045,18367713,-0.018,229.11,253.87,217.97
2025-04-23,232.88832092285156,234.56136916342427,225.71811417753992,226.76973574749184,31898042,0.027,230.06,253.87,217.97
2025-04-24,232.07568359375,234.37014383740578,230.88064917771626,234.03554295360982,23000820,-0.0084,230.47,253.87,217.97
2025-04-25,230.30703735351562,235.32618213035408,227.58236751306862,233.22292437952927,16620430,-0.0125,230.05,253.87,217.97
2025-04-28,229.9246368408203,231.31087393747262,228.25158854779977,229.9246368408203,14218414,0.0,229.07,253.87,217.97
2025-04-29,230.78504943847656,232.88832176160133,229.3032183760337,230.97626662263193,16647246,-0.0008,229.69,253.87,217.97
2025-04-30,230.8806610107422,232.69710758108045,228.68179465498002,230.92846530739808,14206640,-0.0002,230.1,253.87,217.97
2025-05-02,231.052734375,234.99157785344963,230.16363574375234,231.3969048811204,10822257,-0.0015,231.13,253.87,217.97
2025-05-05,232.85964965820312,236.01452906962498,232.02789572604007,233.27073452426686,12170446,-0.0018,231.13,253.87,217.97
2025-05-06,230.5843048095703,235.08718674636222,230.0298070374891,233.7487539088033,8869045,-0.0135,230.91,253.87,217.97
2025-05-07,233.3089599609375,233.70093476268548,225.63205980019728,225.63205980019728,9130056,0.034,231.34,253.87,217.97
2025-05-08,230.9475860595703,235.02025823803473,228.7869544247762,232.41986209217805,11434833,-0.0063,231.49,253.87,217.97
2025-05-09,231.36822509765625,232.26689334025846,226.10051848106667,226.19612707242462,10582438,0.0229,231.57,253.87,217.97
2025-05-12,245.96678161621094,246.59776333804783,234.1120451219244,234.3128027502575,19791711,0.0497,233.73,253.87,217.97
2025-05-13,240.50787353515625,245.65130675971545,239.59963563280942,245.65130675971545,11714159,-0.0209,235.08,253.87,217.97
2025-05-14,241.81761169433594,242.5346323593957,239.72390901830983,240.5078586142634,8839105,0.0054,236.36,253.87,217.97
2025-05-15,245.2880096435547,245.79470310723363,239.59963372293012,242.06618669463595,12083645,0.0133,238.46,253.87,217.97
2025-05-16,243.1273651123047,245.69908156861143,242.381664786632,245.69908156861143,6640387,-0.0105,239.86,253.87,217.97
2025-05-19,240.67994689941406,243.5384746583959,240.23061276300297,243.12737520712,6788784,-0.0101,241.25,253.87,217.97
2025-05-20,238.7296600341797,243.4046344463817,238.34724023889126,241.87498444087518,9366429,-0.013,242.3,253.87,217.97
2025-05-21,239.88644409179688,241.02411927198438,237.19045384040393,238.7296588628064,5313593,0.0048,241.43,253.87,217.97
2025-05-22,235.12542724609375,238.90173329983332,234.22675897963038,238.05086933031822,11469037,-0.0123,240.66,253.87,217.97
2025-05-23,236.4829864501953,239.47535749023734,234.8003831348431,235.27839693227736,7437642,0.0051,239.9,253.87,217.97
2025-05-26,239.23635864257812,239.81953607858665,237.28605411423132,237.56331029525484,3690751,0.007,239.04,253.87,217.97
